residual_family,feature_id,role,source_kind,unit,pre_or_post_treatment,primary_gate,rationale,implementation_status
R-IP,raw33.rms_jerk,Semantic_probe_only,existing_target_v0.1,m/s^3,whole-window_descriptor_not_context,false,retained for D1 semantic probing or secondary description; not a Primary D4 matching gate,EXISTING_DEFINITION
R-IP,raw33.max_abs_accel,Semantic_probe_only,existing_target_v0.1,m/s^2,whole-window_descriptor_not_context,false,retained for D1 semantic probing or secondary description; not a Primary D4 matching gate,EXISTING_DEFINITION
R-IP,raw33.max_abs_jerk,Semantic_probe_only,existing_target_v0.1,m/s^3,whole-window_descriptor_not_context,false,retained for D1 semantic probing or secondary description; not a Primary D4 matching gate,EXISTING_DEFINITION
R-IP,raw33.mean_thw,Semantic_probe_only,existing_target_v0.1,s,whole-window_descriptor_not_context,false,retained for D1 semantic probing or secondary description; not a Primary D4 matching gate,EXISTING_DEFINITION
R-IP,raw33.min_thw,Semantic_probe_only,existing_target_v0.1,s,whole-window_descriptor_not_context,false,retained for D1 semantic probing or secondary description; not a Primary D4 matching gate,EXISTING_DEFINITION
R-IP,raw33.mean_front_distance,Semantic_probe_only,existing_target_v0.1,m,whole-window_descriptor_not_context,false,retained for D1 semantic probing or secondary description; not a Primary D4 matching gate,EXISTING_DEFINITION
R-IP,raw33.min_front_distance,Semantic_probe_only,existing_target_v0.1,m,whole-window_descriptor_not_context,false,retained for D1 semantic probing or secondary description; not a Primary D4 matching gate,EXISTING_DEFINITION
R-IP,raw33.mean_rel_speed,Semantic_probe_only,existing_target_v0.1,m/s,whole-window_descriptor_not_context,false,retained for D1 semantic probing or secondary description; not a Primary D4 matching gate,EXISTING_DEFINITION
R-IP,raw33.p95_rel_speed,Semantic_probe_only,existing_target_v0.1,m/s,whole-window_descriptor_not_context,false,retained for D1 semantic probing or secondary description; not a Primary D4 matching gate,EXISTING_DEFINITION
R-IP,raw33.rms_yaw_rate,Semantic_probe_only,existing_target_v0.1,rad/s,whole-window_descriptor_not_context,false,retained for D1 semantic probing or secondary description; not a Primary D4 matching gate,EXISTING_DEFINITION
R-IP,raw33.rms_curvature,Semantic_probe_only,existing_target_v0.1,1/m,whole-window_descriptor_not_context,false,retained for D1 semantic probing or secondary description; not a Primary D4 matching gate,EXISTING_DEFINITION
R-IP,raw33.heading_change_total,Semantic_probe_only,existing_target_v0.1,rad,whole-window_descriptor_not_context,false,retained for D1 semantic probing or secondary description; not a Primary D4 matching gate,EXISTING_DEFINITION
R-IP,raw33.lane_change_count_proxy,Semantic_probe_only,existing_target_v0.1,count,whole-window_descriptor_not_context,false,retained for D1 semantic probing or secondary description; not a Primary D4 matching gate,EXISTING_DEFINITION
R-IP,raw33.lane_change_rate_proxy,Semantic_probe_only,existing_target_v0.1,1/s,whole-window_descriptor_not_context,false,retained for D1 semantic probing or secondary description; not a Primary D4 matching gate,EXISTING_DEFINITION
R-IP,raw33.lane_change_left_count_proxy,Semantic_probe_only,existing_target_v0.1,count,whole-window_descriptor_not_context,false,retained for D1 semantic probing or secondary description; not a Primary D4 matching gate,EXISTING_DEFINITION
R-IP,raw33.lane_change_right_count_proxy,Semantic_probe_only,existing_target_v0.1,count,whole-window_descriptor_not_context,false,retained for D1 semantic probing or secondary description; not a Primary D4 matching gate,EXISTING_DEFINITION
R-IP,raw33.lane_change_duration_mean_proxy,Semantic_probe_only,existing_target_v0.1,s/frame proxy,whole-window_descriptor_not_context,false,retained for D1 semantic probing or secondary description; not a Primary D4 matching gate,EXISTING_DEFINITION
R-IP,raw33.max_lateral_speed,Semantic_probe_only,existing_target_v0.1,m/s,whole-window_descriptor_not_context,false,retained for D1 semantic probing or secondary description; not a Primary D4 matching gate,EXISTING_DEFINITION
R-IP,raw33.rms_lateral_accel,Semantic_probe_only,existing_target_v0.1,m/s per frame,whole-window_descriptor_not_context,false,retained for D1 semantic probing or secondary description; not a Primary D4 matching gate,EXISTING_DEFINITION
R-IP,raw33.lane_change_oscillation_score_proxy,Semantic_probe_only,existing_target_v0.1,fraction,whole-window_descriptor_not_context,false,retained for D1 semantic probing or secondary description; not a Primary D4 matching gate,EXISTING_DEFINITION
R-IP,raw33.front_pressure_score,Semantic_probe_only,existing_target_v0.1,m proxy,whole-window_descriptor_not_context,false,retained for D1 semantic probing or secondary description; not a Primary D4 matching gate,EXISTING_DEFINITION
R-IP,raw33.left_front_min_gap,Semantic_probe_only,existing_target_v0.1,m,whole-window_descriptor_not_context,false,retained for D1 semantic probing or secondary description; not a Primary D4 matching gate,EXISTING_DEFINITION
R-IP,raw33.left_rear_min_gap,Semantic_probe_only,existing_target_v0.1,m,whole-window_descriptor_not_context,false,retained for D1 semantic probing or secondary description; not a Primary D4 matching gate,EXISTING_DEFINITION
R-IP,raw33.right_front_min_gap,Semantic_probe_only,existing_target_v0.1,m,whole-window_descriptor_not_context,false,retained for D1 semantic probing or secondary description; not a Primary D4 matching gate,EXISTING_DEFINITION
R-IP,raw33.right_rear_min_gap,Semantic_probe_only,existing_target_v0.1,m,whole-window_descriptor_not_context,false,retained for D1 semantic probing or secondary description; not a Primary D4 matching gate,EXISTING_DEFINITION
R-IP,raw33.left_gap_min,Semantic_probe_only,existing_target_v0.1,m,whole-window_descriptor_not_context,false,retained for D1 semantic probing or secondary description; not a Primary D4 matching gate,EXISTING_DEFINITION
R-IP,raw33.right_gap_min,Semantic_probe_only,existing_target_v0.1,m,whole-window_descriptor_not_context,false,retained for D1 semantic probing or secondary description; not a Primary D4 matching gate,EXISTING_DEFINITION
R-IP,raw33.left_gap_acceptance_proxy,M_behavior,existing_target_v0.1,fraction,post-treatment_or_whole-window,true,post-treatment morphology/mechanism qualification; never Primary F_match,EXISTING_DEFINITION
R-IP,raw33.right_gap_acceptance_proxy,M_behavior,existing_target_v0.1,fraction,post-treatment_or_whole-window,true,post-treatment morphology/mechanism qualification; never Primary F_match,EXISTING_DEFINITION
R-IP,raw33.rear_vehicle_pressure_proxy,Semantic_probe_only,existing_target_v0.1,m/s proxy,whole-window_descriptor_not_context,false,retained for D1 semantic probing or secondary description; not a Primary D4 matching gate,EXISTING_DEFINITION
R-IP,raw33.yielding_score_proxy,M_behavior,existing_target_v0.1,1/s proxy,post-treatment_or_whole-window,true,post-treatment morphology/mechanism qualification; never Primary F_match,EXISTING_DEFINITION
R-IP,raw33.assertiveness_score_proxy,M_behavior,existing_target_v0.1,fraction,post-treatment_or_whole-window,true,post-treatment morphology/mechanism qualification; never Primary F_match,EXISTING_DEFINITION
R-IP,longitudinal_v2.ego_speed_smoothed,Semantic_probe_only,existing_target_v0.1,m/s,whole-window_descriptor_not_context,false,retained for D1 semantic probing or secondary description; not a Primary D4 matching gate,EXISTING_DEFINITION
R-IP,longitudinal_v2.ego_longitudinal_accel,Semantic_probe_only,existing_target_v0.1,m/s^2,whole-window_descriptor_not_context,false,retained for D1 semantic probing or secondary description; not a Primary D4 matching gate,EXISTING_DEFINITION
R-IP,longitudinal_v2.ego_longitudinal_jerk,Semantic_probe_only,existing_target_v0.1,m/s^3,whole-window_descriptor_not_context,false,retained for D1 semantic probing or secondary description; not a Primary D4 matching gate,EXISTING_DEFINITION
R-IP,context.map_location,Context_match,pre_treatment_contract,category,pre-treatment_only,true,Map/location identity known before treatment,BIND_EXACT_COLUMN_BEFORE_D4_EXECUTION
R-IP,context.road_class,Context_match,pre_treatment_contract,category,pre-treatment_only,true,Road/lane topology class known before treatment,BIND_EXACT_COLUMN_BEFORE_D4_EXECUTION
R-IP,context.log_id,Context_match,pre_treatment_contract,identifier,pre-treatment_only,true,Log cluster identity; matching/blocking only,BIND_EXACT_COLUMN_BEFORE_D4_EXECUTION
R-IP,context.intended_lane_change_direction,Context_match,pre_treatment_contract,category,pre-treatment_only,true,Pre-treatment intended maneuver direction,BIND_EXACT_COLUMN_BEFORE_D4_EXECUTION
R-IP,context.initial_speed_mps,Context_match,pre_treatment_contract,m/s,pre-treatment_only,true,Ego speed at frozen pre-treatment anchor,BIND_EXACT_COLUMN_BEFORE_D4_EXECUTION
R-IP,context.traffic_density,Context_match,pre_treatment_contract,count or frozen bin,pre-treatment_only,true,Pre-treatment traffic-density measure,BIND_EXACT_COLUMN_BEFORE_D4_EXECUTION
R-IP,context.neighbor_availability_pattern,Context_match,pre_treatment_contract,bit pattern,pre-treatment_only,true,Pre-treatment semantic-slot availability,BIND_EXACT_COLUMN_BEFORE_D4_EXECUTION
R-IP,context.target_lane_initial_front_gap_m,Context_match,pre_treatment_contract,m,pre-treatment_only,true,Target-lane front gap at pre-treatment anchor,BIND_EXACT_COLUMN_BEFORE_D4_EXECUTION
R-IP,context.target_lane_initial_rear_gap_m,Context_match,pre_treatment_contract,m,pre-treatment_only,true,Target-lane rear gap at pre-treatment anchor,BIND_EXACT_COLUMN_BEFORE_D4_EXECUTION
R-IP,context.target_lane_initial_rear_closing_speed_mps,Context_match,pre_treatment_contract,m/s,pre-treatment_only,true,Target-lane rear closing speed at pre-treatment anchor,BIND_EXACT_COLUMN_BEFORE_D4_EXECUTION
R-IP,context.gap_opportunity_class,Context_match,pre_treatment_contract,category,pre-treatment_only,true,Pre-treatment gap-opportunity stratum,BIND_EXACT_COLUMN_BEFORE_D4_EXECUTION
R-IP,mechanism.gap_acceptance_latency_s,M_behavior,family_specific_mechanism_contract,s,post-treatment_mechanism,true,Time from frozen gap opportunity to commitment,IMPLEMENT_AND_SHA_BIND_BEFORE_D4_EXECUTION
R-IP,mechanism.minimum_accepted_rear_gap_m,M_behavior,family_specific_mechanism_contract,m,post-treatment_mechanism,true,Rear gap at frozen acceptance event,IMPLEMENT_AND_SHA_BIND_BEFORE_D4_EXECUTION
R-IP,mechanism.yield_response_onset_s,M_behavior,family_specific_mechanism_contract,s,post-treatment_mechanism,true,Latency from interaction cue to yielding response onset,IMPLEMENT_AND_SHA_BIND_BEFORE_D4_EXECUTION
